startDay,endDay,buckets,AEI,N_H,L_H,inc,local
775,782,7,161,2922037,73.1,17531.7059214059,salvador
782,789,7,195,2922037,73.1,21234.05375574,salvador
789,796,7,216,2922037,73.1,23520.7980063582,salvador
796,803,7,245,2922037,73.1,26678.6829238785,salvador
803,810,7,228,2922037,73.1,24827.5090067114,salvador
810,817,7,242,2922037,73.1,26352.0051737902,salvador
817,824,7,288,2922037,73.1,31361.0640084776,salvador
824,831,7,543,2922037,73.1,59128.6727659838,salvador
831,838,7,840,2922037,73.1,91469.7700247263,salvador
838,845,7,1585,2922037,73.1,172594.744629989,salvador
845,852,7,1861,2922037,73.1,202649.097638114,salvador
852,859,7,3301,2922037,73.1,359454.417680502,salvador
859,866,7,2105,2922037,73.1,229218.887978629,salvador
866,873,7,1486,2922037,73.1,161814.378877075,salvador
873,880,7,551,2922037,73.1,59999.8134328859,salvador
880,887,7,279,2922037,73.1,30381.0307582126,salvador
887,894,7,366,2922037,73.1,39854.6855107736,salvador
894,901,7,294,2922037,73.1,32014.4195086542,salvador
901,908,7,229,2922037,73.1,24936.4015900742,salvador
908,915,7,289,2922037,73.1,31469.9565918403,salvador
915,922,7,177,2922037,73.1,19273.9872552102,salvador
922,929,7,179,2922037,73.1,19491.7724219357,salvador
929,936,7,181,2922037,73.1,19709.5575886613,salvador
936,943,7,150,2922037,73.1,16333.8875044154,salvador
943,950,7,118,2922037,73.1,12849.3248368068,salvador
950,957,7,127,2922037,73.1,13829.3580870717,salvador
957,964,7,121,2922037,73.1,13176.0025868951,salvador
964,971,7,72,2922037,73.1,7840.2660021194,salvador
971,978,7,77,2922037,73.1,8384.7289189332,salvador
978,985,7,86,2922037,73.1,9364.7621691982,salvador
985,992,7,54,2922037,73.1,5880.1995015896,salvador
992,999,7,50,2922037,73.1,5444.6291681385,salvador
999,1006,7,55,2922037,73.1,5989.0920849523,salvador
1006,1013,7,43,2922037,73.1,4682.3810845991,salvador
1013,1020,7,12,2922037,73.1,1306.7110003532,salvador
1020,1027,7,10,2922037,73.1,1088.9258336277,salvador
1027,1034,7,2,2922037,73.1,217.7851667255,salvador
1034,1041,7,14,2922037,73.1,1524.4961670788,salvador
1041,1048,7,21,2922037,73.1,2286.7442506182,salvador
1048,1055,7,16,2922037,73.1,1742.2813338043,salvador
1055,1062,7,17,2922037,73.1,1851.1739171671,salvador
1062,1069,7,31,2922037,73.1,3375.6700842459,salvador
1069,1076,7,35,2922037,73.1,3811.2404176969,salvador
1076,1083,7,4,2922037,73.1,435.5703334511,salvador
1083,1090,7,21,2922037,73.1,2286.7442506182,salvador
1090,1097,7,9,2922037,73.1,980.0332502649,salvador
1097,1104,7,0,2922037,73.1,0,salvador
1104,1111,7,0,2922037,73.1,0,salvador
1111,1118,7,0,2922037,73.1,0,salvador
1118,1125,7,0,2922037,73.1,0,salvador
1125,1132,7,0,2922037,73.1,0,salvador
1132,1139,7,0,2922037,73.1,0,salvador
1139,1146,7,0,2922037,73.1,0,salvador
1146,1153,7,0,2922037,73.1,0,salvador
1153,1160,7,0,2922037,73.1,0,salvador
1160,1167,7,0,2922037,73.1,0,salvador
