Country,Locations,Incidence type,Filename,Notified or Confirmed?,Definition given,Filename,Resolution,Digitised?,FullSource,Note,Source
Brazil,"Northeast states (Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte and Sergipe)",Microcephaly and ZIKV,Northeast/northeast_microceph.csv & Northeast/northeast_zikv.csv,Microcephaly notified; ZIKV notified,"Microcephaly: suspected cases reported in the RESP database only
ZIKV: suspected and confirmed cases reported through sentinel surveillance system",Northeast/northeast_microceph.csv & Northeast/northeast_zikv.csv,Weekly,No,"N Engl J Med 2017; 376:1591-1593April 20, 2017DOI: 10.1056/NEJMc1608612",,[@deOliveira2017]
Brazil,"Northeast states (Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte and Sergipe)",Microcephaly and ZIKV,"Northeast/deOliveira2017/microCeph_deOliveira2017_clean.csv & 
Northeast/deOliveira2017/zikv_inc_deOliveira2017_clean.csv",Microcephaly confirmed & predicted; ZIKV notified,"Microcephaly: infection related, confirmation based on diagnostic approach, either neuroimaging or laboratory test. See methods and appendix of source.
ZIKV: Possible ZIKV cases in pregnant women, given as suspected ZIKV infection and discarded suspected cases of dengue and chikungunya","Northeast/deOliveira2017/microCeph_deOliveira2017_clean.csv & 
Northeast/deOliveira2017/zikv_inc_deOliveira2017_clean.csv",Weekly,Yes,The Lancet 2017; 390:861-870 DOI:10.1016/S0140-6736(17)31368-5,Extracted from incidence per 10000 births/pregnant women – see accompanying extraction_readme.txt,[@deOliveira2017a]
Colombia,Country-wide,Microcephaly,Colombia/microcephaly_dat_weekly_Dec_2017.csv,Notified,Reported microcephaly cases,Colombia/microcephaly_dat_weekly_2017.csv,Weekly,Yes,"Pan American Health Organization / World Health Organization. Zika - Epidemiological Report Colombia.
September 2017. Washington, D.C.: PAHO/WHO; 2017",,[@PahoColombia]
Colombia,Country-wide,ZIKV,Colombia/zikv_inc_Dec_2017.csv,Notified,Suspected + confirmed cases combined,Colombia/zikv_inc_2017.csv,Weekly,Yes,"Pan American Health Organization / World Health Organization. Zika - Epidemiological Report Colombia.
September 2017. Washington, D.C.: PAHO/WHO; 2017",,[@PahoColombia]
Colombia,Country-wide,ZIKV,Colombia/zikv_inc_Dec_2017_confirmed.csv,Confirmed,Confirmed cases alone,Colombia/zikv_inc_2017_confirmed.csv,Weekly,Yes,"Pan American Health Organization / World Health Organization. Zika - Epidemiological Report Colombia.
September 2017. Washington, D.C.: PAHO/WHO; 2017",,[@PahoColombia]
Colombia,Country-wide,Microcephaly,Colombia/colombia_microceph_monthly_Cuevas2016.csv,Notified,Date of reported congenital microcephaly case,Colombia/colombia_microceph_monthly.csv,Monthly,No,MMWR. Morbidity and Mortality Weekly Report; 65(45):1409-1413  2016,,[@Cuevas2016b]
Colombia,Country-wide,Microcephaly,Colombia/colombia_reports_microceph_2017.csv,Notified,"Number of new cases going into review – calculated manually by taking into account new confirmations, new discarded and new under review",Colombia/colombia_reports_microceph_2017.csv,Weekly,No,Instituto Nacional de Salud (Colombia). Boletín Epidemiológico. EW14 2016 – EW 34 2017. Available at: http://www.ins.gov.co/buscador-eventos/BoletinEpidemiologico/Forms/AllItems.aspx Accessed 15/06/2018.,"Extracted from cumulative values for under review, discarded and confirmed, so not strictly true incidence. New under review cases are R_t – R_(t-1) + new_D_t + new_C_t (review, discarded, confirmed)",[@ColombiaReports]
Colombia,Country-wide,Microcephaly,Colombia/colombia_reports_microceph_2017_confirmed.csv,Confirmed,Number of new cases counted as confirmed taken from cumulative values,Colombia/colombia_reports_microceph_2017_confirmed.csv,Weekly,No,Instituto Nacional de Salud (Colombia). Boletín Epidemiológico. EW14 2016 – EW 34 2017. Available at: http://www.ins.gov.co/buscador-eventos/BoletinEpidemiologico/Forms/AllItems.aspx Accessed 15/06/2018.,"Extracted from cumulative values for under review, discarded and confirmed, so not strictly true incidence. Confirmed cases are number of confirmed cases in week t less the number of cases in time t-1",[@ColombiaReports]
Brazil,Bahia,Microcephaly,Brazil/microceph_reports_2016.csv,Notified,Number of notified cases per epidemiological week,Brazil/microceph_reports_2016.csv,Weekly,Yes,"Boletim da Microcefalia e outras alterações do SNC sugestivas de infecção congênita. Bahia,
2016 [in Portuguese] [Internet]. Available: http://www.saude.ba.gov.br/wp-content/uploads/2017/11/
2017-Boletim-epidemiol%C3%B3gico-da-Microcefalia-n.-01.pdf",,[@BahiaReports]
Brazil,Bahia,Microcephaly,Brazil/brazil_microCeph_28022017.csv,Notified,Number of microcephaly births (assumed notified),Brazil/brazil_microCeph_28022017.csv,Monthly,No,https://public.tableau.com/profile/bruno.zoca#!/vizhome/Painel2-microcefalia/Painel2-Microcefalia,,[@Zoca2016]
Brazil,Bahia,ZIKV,Brazil/brazil_report_zikv_inc_2016.csv,Notified,Number of notified cases per epidemiological week,Brazil/brazil_report_zikv_inc_2016.csv,Weekly,Yes,"Boletim da Microcefalia e outras alterações do SNC sugestivas de infecção congênita. Bahia,
2016 [in Portuguese] [Internet]. Available: http://www.saude.ba.gov.br/wp-content/uploads/2017/11/
2017-Boletim-epidemiol%C3%B3gico-da-Microcefalia-n.-01.pdf",,[@BahiaReportsB]
Brazil,Rio Grande do Norte,Microcephaly,Brazil/microceph_reports_2016.csv,Notified,Gross number of reported cases of microcephaly according to protocol definitions,Brazil/microceph_reports_2016.csv,Monthly,No,"Boletim Epidemiologico, Atualização da Situação Epidemiológica da Microcefalia e/ou outras alterações do sistema nervoso central de causas infecciosas no Rio Grande do Norte. 05/02/2017. Available at http://www.saude.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=96506&ACT=&PAGE=&PARM=&LBL=MAT%C9RIA",,[@RioReports]
Brazil,Rio Grande do Norte,Microcephaly,Brazil/microceph_reports_2016.csv,Confirmed,Confirmed cases of microcephaly according to protocol definitions,Brazil/microceph_reports_2016.csv,Monthly,Yes,"Boletim Epidemiologico, Atualização da Situação Epidemiológica da Microcefalia e/ou outras alterações do sistema nervoso central de causas infecciosas no Rio Grande do Norte. 05/02/2017. Available at http://www.saude.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=96506&ACT=&PAGE=&PARM=&LBL=MAT%C9RIA",,[@RioReports]
Brazil,Rio Grande do Norte,Microcephaly,Brazil/brazil_microCeph_28022017.csv,Notified,Number of microcephaly births (assumed notified),Brazil/brazil_microCeph_28022017.csv,Monthly,No,https://public.tableau.com/profile/bruno.zoca#!/vizhome/Painel2-microcefalia/Painel2-Microcefalia,,[@Zoca2016]
Brazil,Rio Grande do Norte,ZIKV,Brazil/brazil_report_zikv_inc_2016.csv,Notified,Notified cases of ZIKV by epidemiological week of symptom onset,Brazil/brazil_report_zikv_inc_2016.csv,Weekly,Yes,"Boletim Epidemiologico, Atualização da Situação Epidemiológica das
Arboviroses no Rio Grande do Norte. December 2016. Available at http://www.saude.rn.gov.br/Conteudo.asp?TRAN=ITEM&TARG=110749&ACT=&PAGE=0&PARM=&LBL=Arboviroses",,[@RioReportsB]
Brazil,Pernambuco,Microcephaly,Brazil/microceph_reports_2016.csv,Confirmed & Notified,"Notifications of microcephaly and later congenital syndrome associated with Zika virus infection. Note that different reports give the same numbers, but an earlier source refers to these cases as microcephaly whereas the later refers to them as congenital Zika syndrome. Confirmed cases are just for microcephaly cases.",Brazil/microceph_reports_2016.csv,Weekly,Yes,Technical Report No 02/2017 Congenital syndrome associated with Zika virus infection (SCZ) SEVS report 03/02/2017,,[@PernambucoReports]
Brazil,Pernambuco,ZIKV,Brazil/brazil_report_zikv_inc_2016.csv,Notified,Reported cases of ZIKV,Brazil/brazil_report_zikv_inc_2016.csv,Weekly,Yes,"Pan American Health Organization / World Health Organization. Zika Epidemiological
Update, 26 May 2016. Washington, D.C.: PAHO/WHO; 2016",,[@PahoPernambuco]
Brazil,Pernambuco,Microcephaly,Brazil/brazil_microCeph_28022017.csv,Notified,Number of microcephaly births (assumed notified),Brazil/brazil_microCeph_28022017.csv,Monthly,No,https://public.tableau.com/profile/bruno.zoca#!/vizhome/Painel2-microcefalia/Painel2-Microcefalia,,[@Zoca2016]
Brazil,"Salvador, Bahia",ZIKV,Brazil/salvador_inc_scaled.csv,Notified,Cases of reported acute exanthematous illness,Brazil/salvador_inc_scaled.csv,Weekly,No,"Paploski IA, Prates APP, Cardoso CW, Kikuti M, Silva MMO, Waller LA, et al. Time Lags between
Exanthematous Illness Attributed to Zika Virus, Guillain-Barré Syndrome, and Microcephaly, Salvador,
Brazil. Emerg Infect Dis. 2016;22: 1438–1444. doi:10.3201/eid2208.160496",,[@Paploski]
Brazil,"Salvador, Bahia",Microcephaly,Brazil/salvador_microcephaly.csv,Notified,Cases of reported microcephaly,Brazil/salvador_microcephaly.csv,Weekly,No,"Paploski IA, Prates APP, Cardoso CW, Kikuti M, Silva MMO, Waller LA, et al. Time Lags between
Exanthematous Illness Attributed to Zika Virus, Guillain-Barré Syndrome, and Microcephaly, Salvador,
Brazil. Emerg Infect Dis. 2016;22: 1438–1444. doi:10.3201/eid2208.160496",,[@Paploski]
