"startDay","endDay","buckets","microCeph","births","local"
608,638,30,4,17356,"bahia"
638,669,31,4,17356,"bahia"
669,699,30,4,17356,"bahia"
699,730,31,6,17356,"bahia"
730,761,31,12,17356,"bahia"
761,789,28,33,17356,"bahia"
789,820,31,94,17356,"bahia"
820,850,30,222,17356,"bahia"
850,881,31,360,17356,"bahia"
881,911,30,355,17356,"bahia"
911,942,31,206,17356,"bahia"
942,973,31,79,17356,"bahia"
973,1003,30,26,17356,"bahia"
1003,1034,31,10,17356,"bahia"
1034,1064,30,5,17356,"bahia"
1064,1095,31,4,17356,"bahia"
1095,1126,31,4,17356,"bahia"
1126,1154,28,4,17356,"bahia"
1154,1185,31,3,17356,"bahia"
1185,1215,30,3,17356,"bahia"
1215,1246,31,3,17356,"bahia"
1246,1276,30,3,17356,"bahia"
1276,1307,31,3,17356,"bahia"
1307,1338,31,3,17356,"bahia"
1338,1368,30,3,17356,"bahia"
1368,1399,31,3,17356,"bahia"
1399,1429,30,3,17356,"bahia"
1429,1460,31,3,17356,"bahia"
1460,1491,31,3,17356,"bahia"
1491,1519,28,3,17356,"bahia"
1519,1550,31,3,17356,"bahia"
1550,1580,30,3,17356,"bahia"
1580,1611,31,3,17356,"bahia"
1611,1641,30,3,17356,"bahia"
1641,1672,31,3,17356,"bahia"
1672,1703,31,3,17356,"bahia"
1703,1733,30,3,17356,"bahia"
1733,1764,31,3,17356,"bahia"
1764,1794,30,3,17356,"bahia"
1794,1825,31,3,17356,"bahia"
1825,1856,31,3,17356,"bahia"
1856,1884,28,3,17356,"bahia"
1884,1915,31,3,17356,"bahia"
1915,1945,30,3,17356,"bahia"
1945,1976,31,3,17356,"bahia"
